model,k,seed,loss,class_weight,acc,f1w,f1m,mi_overall,confusion_matrix,train_time,hp_hidden,hp_dropout,hp_lr,hp_batch_size,hp_epochs,hp_weight_decay,hp_source,hp_loss,hp_focal_gamma,hp_poly_epsilon,hp_label_smoothing,hp_class_weight,ang_recall,ang_precision,ang_f1,ang_support,hap_recall,hap_precision,hap_f1,hap_support,sad_recall,sad_precision,sad_f1,sad_support,neu_recall,neu_precision,neu_f1,neu_support,ang_mi,hap_mi,sad_mi,neu_mi
lstm,55,0,poly,effective,0.4114285714285714,0.3288870767328535,0.24774023796322947,0.006405667465132991,"[[0, 53, 0, 117], [0, 268, 0, 160], [0, 118, 0, 127], [0, 146, 0, 236]]",4.446448564529419,192,0.7,0.0002,256,50,0.0,default,poly,,1.0,0.0,effective,0.0,0.0,0.0,170,0.6261682242990654,0.4581196581196581,0.5291214215202369,428,0.0,0.0,0.0,245,0.6178010471204188,0.36875,0.461839530332681,382,0.0025882580314307646,0.0034666324024318117,0.002685145782813158,0.004461187296264991
lstm,60,0,poly,effective,0.31183673469387757,0.14825343205110297,0.11885500933416304,0.00605776160084791,"[[0, 0, 0, 170], [0, 0, 0, 428], [0, 0, 0, 245], [0, 0, 0, 382]]",2.7672548294067383,192,0.7,0.0002,256,50,0.0,default,poly,,1.0,0.0,effective,0.0,0.0,0.0,170,0.0,0.0,0.0,428,0.0,0.0,0.0,245,1.0,0.31183673469387757,0.47542003733665217,382,0.002616876184939977,0.003110178231527522,0.0024856221897773907,0.004687646677806622
lstm,65,0,poly,effective,0.41714285714285715,0.344506585794066,0.2771687500724075,0.006473356303616285,"[[0, 78, 32, 60], [0, 370, 3, 55], [0, 137, 37, 71], [0, 241, 37, 104]]",8.169649124145508,192,0.7,0.0002,256,50,0.0,default,poly,,1.0,0.0,effective,0.0,0.0,0.0,170,0.8644859813084113,0.44794188861985473,0.5901116427432217,428,0.1510204081632653,0.3394495412844037,0.20903954802259886,245,0.27225130890052357,0.3586206896551724,0.30952380952380953,382,0.0027320494580729926,0.0031638325383476495,0.0027102323519695116,0.004321394265525562
lstm,70,0,poly,effective,0.4220408163265306,0.34509374389027425,0.2664062870092746,0.006382822500572834,"[[0, 92, 8, 70], [0, 327, 8, 93], [0, 147, 10, 88], [0, 191, 11, 180]]",6.797123908996582,192,0.7,0.0002,256,50,0.0,default,poly,,1.0,0.0,effective,0.0,0.0,0.0,170,0.764018691588785,0.4319682959048877,0.5518987341772152,428,0.04081632653061224,0.2702702702702703,0.07092198581560284,245,0.4712041884816754,0.4176334106728538,0.44280442804428044,382,0.0027718231957217726,0.0033575631722959336,0.0023169135401164657,0.00431193412925365
lstm,75,0,poly,effective,0.47836734693877553,0.44222202426522034,0.3646012378652764,0.006209207457675342,"[[0, 23, 56, 91], [0, 291, 37, 100], [0, 60, 81, 104], [0, 96, 72, 214]]",7.757791996002197,192,0.7,0.0002,256,50,0.0,default,poly,,1.0,0.0,effective,0.0,0.0,0.0,170,0.6799065420560748,0.6191489361702127,0.6481069042316259,428,0.3306122448979592,0.32926829268292684,0.329938900203666,245,0.5602094240837696,0.4204322200392927,0.48035914702581367,382,0.0026750110078481316,0.003140751648655688,0.0024765240101181484,0.004464181299616832
lstm,80,0,poly,effective,0.4179591836734694,0.3395833602141005,0.25597169594071223,0.006446689640589756,"[[0, 4, 0, 166], [0, 200, 3, 225], [0, 39, 0, 206], [0, 69, 1, 312]]",8.303893804550171,192,0.7,0.0002,256,50,0.0,default,poly,,1.0,0.0,effective,0.0,0.0,0.0,170,0.4672897196261682,0.6410256410256411,0.5405405405405406,428,0.0,0.0,0.0,245,0.8167539267015707,0.3432343234323432,0.4833462432223083,382,0.0027183470907488645,0.003279211358969988,0.002633460155718446,0.004641719323923308
lstm,85,0,poly,effective,0.4546938775510204,0.37388599548813567,0.2807667412087103,0.006246969048503743,"[[0, 1, 0, 169], [0, 255, 0, 173], [0, 45, 0, 200], [0, 80, 0, 302]]",8.878900289535522,192,0.7,0.0002,256,50,0.0,default,poly,,1.0,0.0,effective,0.0,0.0,0.0,170,0.5957943925233645,0.6692913385826772,0.630407911001236,428,0.0,0.0,0.0,245,0.7905759162303665,0.3578199052132701,0.4926590538336052,382,0.002718728987220868,0.00323834267591274,0.002636848720114671,0.004348438446734167
lstm,90,0,poly,effective,0.43673469387755104,0.34700902212054335,0.261002833422728,0.006775658989579465,"[[0, 70, 0, 100], [0, 313, 0, 115], [0, 125, 0, 120], [0, 160, 0, 222]]",8.643146991729736,192,0.7,0.0002,256,50,0.0,default,poly,,1.0,0.0,effective,0.0,0.0,0.0,170,0.7313084112149533,0.468562874251497,0.5711678832116789,428,0.0,0.0,0.0,245,0.581151832460733,0.3985637342908438,0.4728434504792332,382,0.0029972291330095987,0.0033438388868152922,0.0026150859224416184,0.004386879095801249
lstm,95,0,poly,effective,0.4473469387755102,0.37833262116189703,0.2972231980446104,0.0063118619661990125,"[[0, 52, 14, 104], [0, 306, 6, 116], [0, 114, 19, 112], [0, 147, 12, 223]]",9.005117654800415,192,0.7,0.0002,256,50,0.0,default,poly,,1.0,0.0,effective,0.0,0.0,0.0,170,0.7149532710280374,0.49434571890145396,0.5845272206303725,428,0.07755102040816327,0.37254901960784315,0.12837837837837837,245,0.5837696335078534,0.4018018018018018,0.4759871931696905,382,0.0026364586627668565,0.0033049176754660825,0.002637927366988577,0.004498432978120668
lstm,100,0,poly,effective,0.32571428571428573,0.20020919672216714,0.1846181951041286,0.006470914609202886,"[[0, 0, 19, 151], [0, 0, 14, 414], [0, 0, 48, 197], [0, 0, 31, 351]]",12.792463302612305,192,0.7,0.0002,256,50,0.0,default,poly,,1.0,0.0,effective,0.0,0.0,0.0,170,0.0,0.0,0.0,428,0.19591836734693877,0.42857142857142855,0.2689075630252101,245,0.918848167539267,0.31536388140161725,0.46956521739130436,382,0.002568636122783025,0.003129771675082677,0.003190875304316934,0.004262606600595804
