lemma,category
self-disgust,self-disgust
self-distrust,diffidence
self-doubt,diffidence
self-esteem,self-esteem
self-hatred,self-disgust
self-importance,ego
self-love,amour-propre
self-pity,self-pity
self-pride,self-esteem
self-reproach,compunction
self-satisfaction,complacency
self_complacency,complacency
self_consciousness,self-consciousness
self_depreciation,self-depreciation
self_disgust,self-disgust
self_distrust,diffidence
self_doubt,diffidence
self_esteem,self-esteem
self_hatred,self-disgust
self_importance,ego
self_love,amour-propre
self_pity,self-pity
self_pride,self-esteem
self_reproach,compunction
self_satisfaction,complacency
sensation,sensation
serenity,peace
seriousness,earnestness
shadow,shadow
shame,shame
shamefacedness,shamefacedness
sheepishness,shamefacedness
shiver,frisson
shock,daze
short-temper,irascibility
short_temper,irascibility
shudder,frisson
shyness,shyness
sincerity,earnestness
sinking,sinking
sinking-feeling,sinking
sinking_feeling,sinking
smugness,smugness
soft-spot,soft-spot
soft_spot,soft-spot
softheartedness,softheartedness
solemnity,gravity
solicitousness,solicitude
solicitude,solicitude
somberness,gloom
sombreness,gloom
sorrow,lost-sorrow
sorrow,regret-sorrow
sorrowfulness,mournfulness
spite,malice
spitefulness,malice
spleen,irascibility
stage-fright,stage-fright
stage_fright,stage-fright
stewing,stewing
stir,stir
stolidity,emotionlessness
stupefaction,stupefaction
stupor,daze
submission,meekness
sulkiness,sulkiness
surprise,surprise
surrender,resignation
suspense,negative-suspense
suspense,positive-suspense
sympathy,sympathy
tantrum,fit
taste,preference
tearfulness,weepiness
temper,pique
tenderheartedness,tenderness
tenderness,affection
tenderness,softheartedness
tenderness,tenderness
terror,panic
thankfulness,gratefulness
thing,thing
thrill,bang
thrill,frisson
timidity,timidity
timidness,timidity
timorousness,timidity
tingle,frisson
titillation,titillation
togetherness,togetherness
torment,harassment
tranquility,tranquillity
tranquillity,tranquillity
trepidation,trepidation
triumph,triumph
trouble,distress
tumult,tumult
turmoil,tumult
umbrage,umbrage
unassertiveness,unassertiveness
uncheerfulness,cheerlessness
uncomfortableness,self-consciousness
unconcern,neutral-unconcern
uneasiness,edginess
uneasiness,self-consciousness
unemotionality,emotionlessness
unfriendliness,unfriendliness
ungratefulness,ingratitude
unhappiness,sadness
unrest,unrest
vanity,amour-propre
vapors,blue-devils
vapours,blue-devils
veneration,reverence
vengefulness,vindictiveness
venom,malice
vexation,annoyance
vindictiveness,vindictiveness
warmheartedness,affection
warmheartedness,warmheartedness
warmness,affection
warmth,warmheartedness
warpath,warpath
weakness,weakness
weepiness,weepiness
weight,weight
weltschmerz,world-weariness
withdrawal,withdrawal
woe,woe
woefulness,woe
wonder,wonder
wonderment,wonder
world-weariness,world-weariness
world_weariness,world-weariness
worry,distress
worship,worship
wrath,wrath
zeal,enthusiasm-ardor
zest,gusto
zestfulness,gusto
